FILE_NAME	TYPE	CONTENT
mail_beerparty_data	MAIL	{from}Johnny {to}Terry {subject}Craft-beer Party {content}YO TERRY! /n /n There is gonna be this crazy craft-beer party at my place on 4th Concrete Avenue Street. Ryan is bringing all of his craft beers from his favorite Yukon valley brewery! /n You gotta be there! /n /n -Johnny
mail_MFC_data	MAIL	{from}Cornelius McTaro {to}Harris Goodwill {subject}The new MFC opening {content}We are finally doing it! /n /n We are opening a new Mississippi Fried Chicken location here in Cloud City. I hired two brigades of security forces to keep the location secure, and I secured that deal with those Chickina bio-meat plants to the south. I am talking about some real synthetic chicken, grown at a 70% purity rate! 1 kilogram for 100 cloudbucks! /n /n I am telling you, Harris, if we sell that deep-battered Mississippi-inspired chicken strips recipe that you like, then we are starting to look at getting, not just new cars, but a new fricken mansion each! /n /n Think about the offer, Harris, i'll contact you later with the details of our contract. /n /n Cornelius McTaro
message_exploration_data	MESSAGE	{sender}Rebecca {receiver}Davy | {to} Hey Davy, me and some friends found this abandoned building with some crazy tunnels. | We're thinking of heading into it later today, wanna join? {from} Isn't every building in Cloud City kinda abandoned? 🤔 {to} Yeah... but this place isn't filled with criminals! 😅 {from} Ok. | That's a good start. | What do we expect to find in there? {to} No idea! | Meet up at my place at 93th Nostal Edwards Street. | ❗ Also, don't forget your cloudmask. ❗ | I'm 100% sure we are going to stumble into some deep Cloud down in those tunnels. {from} Roger that.
message_plushheist_data	MESSAGE	{sender}Paul {receiver}Edward | {to} Yo, you know that recent break-in we did on that warehouse yesterday? {from} What now? {to} We snagged those crates you asked for but errr... | They're filled with plushes! {from} So? You shall get your payment once I get my limited edition plushes. {to} You can't seriously be collecting plushies in your 40s man. | There are only 3 plush factories left in the world... | How did you even know that this crate was in Cloud City? {from} I have my methods. | Regardless, I want that crate delivered to my home at 12th Kekato Street without much delay. | Do not contact me again unless you have delivered the crates.
message_ratocide_data	MESSAGE	{sender} Junior Jack {receiver} Tina | {to} You know what time it is. {from} No? {to} It’s payin’ up time, that’s what. {from} No clue what you are talking about? {to} Me and some friends "cleared" out those large rats down in the basement. {from} WHAT!? {to} Took em out of those see-through crates, killed em and buried them. {from} Those rats were MY PETS. {to} Oh... | Who the hell chooses to own rats? {from} Me, you heartless idiot! | I sell them as affordable pets! {to} So, uh, I won't be expecting any payment then... {system} Tina blocked Junior Jack
note_meatgrinder_data	NOTE	[color=red][shake rate=20.0 level=5 connected=1]Okay, if I... if I chop you up in a meat grinder, and the only thing that comes out, that's left of you, is your eyeball, you'r- you're PROBABLY DEAD! You're probably going to - not you, I'm just sayin', like, if you- if somebody were to, like, push you into a meat grinder, and, like, your- one of your finger bones is still intact, they're not gonna pick it up and go, "Well see, yeah it wasn't deadly, it wasn't an instant kill move! You still got, like, this part of your finger left!" NO I'M NOT GONNA PUT YOU INTO A MEAT GRINDER. I'M NOT GONNA PUT YOU INTO A MEAT GRINDER. NO. I'm making a reference to the fact that, like, if I, like, if I were to get fucking KILLED... I don't know, YOU KNOW WHAT I'M SAYIN'. If- if- okay, if you were to- okay we're gonna take humans out of this, if alien Globgobglobgo 1 fuckin' shoots a disintegrating ray at alien Globglo 2, if there's only fucking TEETH LEFT, it's- it's fucking you're dead, you're dead.[/shake][/color] /n /nn "If I were to put you in a meat grinder," goddamnit, it's so fucked up! You understand what I'm sayin' though, I'm not actually saying that I'm going to put somebody in a meat grinder, goddamnit. Whatever.
note_birthday_shopping_list	NOTE	Last minute shopping list for Emilio's birthday: /n /n - Construction-themed cake decorations /n - 23 Toy Hard Hats /n - Yellow-flavoured Cake mix /n - Yellow table cloth /n - 38-year candle. /n - Confetti launchers /n - Emilio's favorite "Manstyle" Perfume as a gift from Aunt Talia.
junk_data_01	JUNK	
		
message_story_Xavier_data_01_01	MESSAGE	{sender}Xavier {receiver}Martin | {from} Xavier my man, you said you wanted a TV? | Well, You're in luck, I plan on selling mine on Praigslist soon, but you can take it off my hands early if you give me that good ka-ching. {to} Hell yeah I want to buy a TV, which model is it? {from} It's a Preuss 55" TOS2000/4 4K LED smart TV. | It's market price is around 8000 cloudbucks but ill give it over for 3000 since its been used. {to} It ain't broken, is it? That's a very large discount... {from} Nah, It's just alittle dusty, That's all. | I just haven't spent as much time watching TV in the recent months, and I need this money for something else ASAP. {system} Missing continued data.
message_story_Xavier_data_01_02	MESSAGE	{sender}Xavier {receiver}Martin | {to} I totally get it. However, I will be taking that TV off your hands, that's an absolute steal. {from} Nice! Send me the cash to my account number: 4102 54 3707 and come meet me at my place. {to} Will do. I'll also send some of the cash I owe you for the previous weekend hangout. {from} Thanks! Remember: Tomorrow at 13:00 at my place. {to} Your address was Parkstreet Blvd.  | 21th house? Concrete building? With that ugly yellow mailbox? {from} You got it. See ya there. {system} Xavier Transfered 3055 Cloudbucks to account number 410253 3707 via the Card 8203 1505 6733 2359.
