FILE_NAME	INPUT	POSSIBLE_OUTPUTS
recipe_beerparty_johnny_terry_ryan	mail_beerparty_fish	profile_johnny_name_item, profile_terry_name_item, profile_ryan_name_item, profile_ryan_likes_item, profile_johnny_address_item
recipe_survey_johnny_cornelius	note_survey_fish	profile_johnny_name_item, profile_johnny_address_item, profile_johnny_likes_item, profile_cornelius_mctaro_name_item, profile_cornelius_mctaro_address_item
recipe_company_hangout_elijah_terry	mail_companyhangout_fish	profile_terry_name_item, profile_terry_address_item, profile_elijah_name_item
recipe_lan_invitation_luca	mail_lan_invitation_fish	
recipe_mfc_cornelius_harris	mail_MFC_fish	profile_cornelius_mctaro_name_item, profile_cornelius_mctaro_likes_item, profile_cornelius_mctaro_occupation_item, profile_harris_goodwill_name_item, profile_harris_goodwill_likes_item, profile_harris_occupation_item
recipe_ratocide_junior_jack_tina	message_ratocide_fish	profile_juniorjack_name_item, profile_juniorjack_occupation_item, profile_tina_name_item, profile_tina_occupation_item
recipe_birthday_emilio	note_birthday_fish	profile_emilio_name_item, profile_emilio_likes_item, profile_emilio_occupation_item, profile_emilio_age_item
recipe_exploration_rebecca_davy	message_exploration_fish	profile_rebecca_name_item, profile_rebecca_likes_item, profile_rebecca_address, profile_davy_name_item, profile_davy_likes_item
recipe_float_xrayo44_the_adriana_maisy	note_digital_float_fish	profile_xrayo44_occupation_item, profile_xrayo44_likes_item, profile_the_adriana_maisy_address_item, profile_the_adriana_maisy_likes_item
recipe_reminder_cornelius	note_cornelius_reminder_fish	profile_cornelius_mctaro_likes_item, profile_cornelius_mctaro_occupation_item
recipe_transaction_01_xavier	message_item_Xavier_01_01	profile_xavier_name_item
recipe_transaction_02_xavier	message_item_Xavier_01_02	profile_xavier_name_item, profile_xavier_creditcard_item
